product_id;product_art;product_name;product_count;product_price;product_sum;product_orderquant;order_id;document_type;createdAt;updatedAt;documentStatus
3012434;11211;"Браслет с якорем ""Форватор Brown""";5;33;165;5;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012435;10002;"Сумочка через плечо, клатч ""Асимметрия Gray""";0;0;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012436;10003;"Женская кожаная сумка ""Саквояж Gold""";2;550;1100;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012437;10006;"Женская кожаная сумка ""Полина 2 Silver""";1;550;550;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012438;10007;"Женская кожаная сумка ""Полина 2 Gold""";1;550;550;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012439;10010;"Женский повседневный рюкзак ""Аврора Red""";0;230;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012440;10011;"Женский повседневный рюкзак ""Аврора Blue""";0;0;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012441;10012;"Женская кожаная сумка ""Синди2b, Silver""";3;550;1650;3;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012442;10013;"Женский повседневный рюкзак ""Кенди Beige""";2;230;460;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012443;10014;"Женский повседневный рюкзак ""Кенди Pink""";1;230;230;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012444;10015;"Женский повседневный рюкзак ""Кенди Blue""";1;230;230;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012445;10017;"Женский повседневный рюкзак-сумка (трансформер) ""Авара Pink""";1;230;230;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012446;10018;"Женский повседневный рюкзак-сумка (трансформер) ""Авара Beige""";0;230;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012447;10019;"Женский повседневный рюкзак-сумка (трансформер) ""Авара Blue""";1;230;230;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012448;10020;"Стильная женская повседневная сумка ""Michael Kors Аманда 2 Pink 1""";4;400;1600;4;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012449;10023;"Женская кожаная сумка ""Ангелина Silver""";1;550;550;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012450;10025;"Стильная женскаяповседневная сумка ""Michael Kors Аманда2 Pink 2""";1;400;400;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012451;10026;"Стильная женскаяповседневная сумка ""Michael Kors Аманда2 Red Wine""";2;400;800;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012452;10027;"Женская повседневная сумка ""Michael Kors, Луиза, Red Wine""";2;480;960;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012453;10029;"Женская кожаная сумка ""Пуговка 2, Pink""";1;570;570;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012454;10031;"Женская кожаная сумка ""Пуговка 3 Black""";3;550;1650;3;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012455;10035;"Женская повседневная сумка ""Michael Kors Рената Black""";2;500;1000;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012456;10036;"Стильная женскаяповседневная сумка ""Michael Kors Аманда2 Black""";3;370;1110;3;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012457;10039;"Часы женские, мужские, унисекс ""Элемент Black""";0;0;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012458;10040;"Часы женские, мужские, унисекс ""Элемент White""";4;86;344;4;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012459;10041;"Женская повседневная сумка ""Нью Йорк Pink""";2;372;744;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012460;10042;"Большой рюкзак для ноутбука, спорта, путешествий, городской ""Берлин Brown""";0;180;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012461;10043;"Большой рюкзак для ноутбука, спорта, городской ""Берлин Brown""";0;180;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012462;10044;"Женский кожаный рюкзак ""Карина Silver""";3;690;2070;3;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012463;10046;"Женский кожаный рюкзак ""Карина Black""";0;670;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012464;10047;"Женский кожаный рюкзак-сумка(трансформер) ""Анжелика Dark Brown""";3;670;2010;3;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012465;10049;"Тибетский браслет из бусин ""Сила шунгит, с камнями""";1;50;50;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012466;10050;"Тибетский браслет из бусин ""Forest""";14;20;280;14;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012467;10051;"Тибетский браслет из бусин ""Будда Инь Янь""";0;0;0;0;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012468;10052;"Тибетский браслет из бусин ""Будда, тигровый глаз 2""";1;25;25;1;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
3012469;10053;"Женская повседневная сумка ""Фарида Black""";2;380;760;2;28;1;2018-10-27 00:00:00;2018-10-27 00:00:00;1
